candidate_id,query_row,movie_local,link_local,score,label,rank_of_positive
0,0,2852,2852,0.5,1,1
1,0,2852,2029,0.5,0,1
2,0,2852,1446,0.5,0,1
3,0,2852,3210,0.5,0,1
4,0,2852,101,0.5,0,1
5,0,2852,203,0.5,0,1
6,0,2852,2819,0.5,0,1
7,0,2852,3127,0.5,0,1
8,0,2852,1279,0.5,0,1
9,0,2852,4166,0.5,0,1
10,0,2852,3305,0.5,0,1
11,0,2852,3765,0.5,0,1
12,0,2852,2949,0.5,0,1
13,0,2852,2316,0.5,0,1
14,0,2852,567,0.5,0,1
15,0,2852,771,0.5,0,1
16,0,2852,2569,0.5,0,1
17,0,2852,749,0.5,0,1
18,0,2852,2258,0.5,0,1
19,0,2852,1090,0.5,0,1
20,1,1674,1674,0.5,1,1
21,1,1674,2725,0.5,0,1
22,1,1674,2403,0.5,0,1
23,1,1674,2539,0.5,0,1
24,1,1674,1746,0.5,0,1
25,1,1674,956,0.5,0,1
26,1,1674,3225,0.5,0,1
27,1,1674,1256,0.5,0,1
28,1,1674,3514,0.5,0,1
29,1,1674,2097,0.5,0,1
30,1,1674,823,0.5,0,1
31,1,1674,3242,0.5,0,1
32,1,1674,2206,0.5,0,1
33,1,1674,3931,0.5,0,1
34,1,1674,3715,0.5,0,1
35,1,1674,2891,0.5,0,1
36,1,1674,2511,0.5,0,1
37,1,1674,3605,0.5,0,1
38,1,1674,62,0.5,0,1
39,1,1674,2581,0.5,0,1
40,2,2613,2613,0.5,1,1
41,2,2613,2695,0.5,0,1
42,2,2613,691,0.5,0,1
43,2,2613,3134,0.5,0,1
44,2,2613,2679,0.5,0,1
45,2,2613,2846,0.5,0,1
46,2,2613,960,0.5,0,1
47,2,2613,3971,0.5,0,1
48,2,2613,24,0.5,0,1
49,2,2613,2896,0.5,0,1
50,2,2613,164,0.5,0,1
51,2,2613,1460,0.5,0,1
52,2,2613,2567,0.5,0,1
53,2,2613,2765,0.5,0,1
54,2,2613,267,0.5,0,1
55,2,2613,806,0.5,0,1
56,2,2613,1075,0.5,0,1
57,2,2613,3933,0.5,0,1
58,2,2613,2509,0.5,0,1
59,2,2613,2342,0.5,0,1
60,3,2715,2715,0.5,1,1
61,3,2715,1759,0.5,0,1
62,3,2715,3669,0.5,0,1
63,3,2715,1788,0.5,0,1
64,3,2715,278,0.5,0,1
65,3,2715,683,0.5,0,1
66,3,2715,1325,0.5,0,1
67,3,2715,1870,0.5,0,1
68,3,2715,1229,0.5,0,1
69,3,2715,2642,0.5,0,1
70,3,2715,979,0.5,0,1
71,3,2715,3103,0.5,0,1
72,3,2715,2665,0.5,0,1
73,3,2715,3307,0.5,0,1
74,3,2715,864,0.5,0,1
75,3,2715,3989,0.5,0,1
76,3,2715,1609,0.5,0,1
77,3,2715,2564,0.5,0,1
78,3,2715,1416,0.5,0,1
79,3,2715,1429,0.5,0,1
80,4,2019,2019,0.5,1,1
81,4,2019,690,0.5,0,1
82,4,2019,1170,0.5,0,1
83,4,2019,1150,0.5,0,1
84,4,2019,63,0.5,0,1
85,4,2019,2822,0.5,0,1
86,4,2019,3261,0.5,0,1
87,4,2019,4126,0.5,0,1
88,4,2019,3935,0.5,0,1
89,4,2019,3975,0.5,0,1
90,4,2019,3375,0.5,0,1
91,4,2019,1231,0.5,0,1
92,4,2019,158,0.5,0,1
93,4,2019,3954,0.5,0,1
94,4,2019,3078,0.5,0,1
95,4,2019,2585,0.5,0,1
96,4,2019,700,0.5,0,1
97,4,2019,3186,0.5,0,1
98,4,2019,3652,0.5,0,1
99,4,2019,3391,0.5,0,1
100,5,141,141,0.5,1,1
101,5,141,3846,0.5,0,1
102,5,141,1072,0.5,0,1
103,5,141,2298,0.5,0,1
104,5,141,3936,0.5,0,1
105,5,141,505,0.5,0,1
106,5,141,148,0.5,0,1
107,5,141,3748,0.5,0,1
108,5,141,2820,0.5,0,1
109,5,141,3295,0.5,0,1
110,5,141,185,0.5,0,1
111,5,141,1957,0.5,0,1
112,5,141,3351,0.5,0,1
113,5,141,2489,0.5,0,1
114,5,141,3799,0.5,0,1
115,5,141,3823,0.5,0,1
116,5,141,3325,0.5,0,1
117,5,141,2080,0.5,0,1
118,5,141,4123,0.5,0,1
119,5,141,13,0.5,0,1
120,6,1550,1550,0.5,1,1
121,6,1550,1498,0.5,0,1
122,6,1550,3665,0.5,0,1
123,6,1550,305,0.5,0,1
124,6,1550,1748,0.5,0,1
125,6,1550,4045,0.5,0,1
126,6,1550,3798,0.5,0,1
127,6,1550,1816,0.5,0,1
128,6,1550,1307,0.5,0,1
129,6,1550,3402,0.5,0,1
130,6,1550,2745,0.5,0,1
131,6,1550,916,0.5,0,1
