super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,batches_per_variant,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v2,val_loss_v2,train_loss_v3,val_loss_v3,train_loss_v4,val_loss_v4
1,"v1,v3,v4,v2",4,4,1,4,4,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.7643904369324446,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
2,"v2,v3,v4,v1",8,8,1,8,8,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.1586964859161526,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
3,"v2,v4,v1,v3",12,12,1,12,12,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.16911717900075018,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
4,"v1,v3,v4,v2",16,16,1,16,16,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.15414579189382493,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
5,"v4,v2,v1,v3",20,20,1,20,20,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.14941618498414755,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
6,"v1,v2,v3,v4",24,24,1,24,24,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.14333295193500817,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
7,"v3,v1,v2,v4",28,28,1,28,28,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.16893167607486248,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
8,"v4,v2,v1,v3",32,32,1,32,32,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.15736034302972257,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
9,"v1,v2,v3,v4",36,36,1,36,36,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.23468271689489484,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
10,"v3,v4,v1,v2",40,40,1,40,40,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.13985240110196173,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
11,"v2,v1,v3,v4",44,44,1,44,44,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.1441554520279169,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
12,"v4,v2,v1,v3",48,48,1,48,48,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.14758868608623743,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
13,"v4,v3,v1,v2",52,52,1,52,52,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.14528682897798717,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
14,"v1,v4,v2,v3",56,56,1,56,56,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.14536653086543083,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
15,"v3,v4,v1,v2",60,60,1,60,60,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.14489495498128235,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
16,"v4,v1,v3,v2",64,64,1,64,64,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.15037923585623503,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
17,"v4,v3,v1,v2",68,68,1,68,68,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.1564396838657558,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
18,"v4,v1,v3,v2",72,72,1,72,72,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.1429381021298468,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
19,"v4,v3,v1,v2",76,76,1,76,76,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.15823657694272697,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
20,"v2,v1,v4,v3",80,80,1,80,80,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.14239021809771657,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
21,"v3,v4,v2,v1",84,84,1,84,84,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.1470622408669442,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
22,"v2,v4,v3,v1",88,88,1,88,88,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.1448385720141232,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
23,"v1,v3,v2,v4",92,92,1,92,92,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.15369272488169372,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
24,"v2,v1,v3,v4",96,96,1,96,96,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.14249220304191113,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
25,"v3,v4,v2,v1",100,100,1,100,100,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.14237107010558248,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
26,"v2,v3,v1,v4",104,104,1,104,104,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.1609878819435835,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
27,"v4,v2,v1,v3",108,108,1,108,108,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.1442066919989884,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
28,"v3,v1,v2,v4",112,112,1,112,112,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.15108852600678802,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
29,"v2,v4,v1,v3",116,116,1,116,116,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.1426178019028157,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
30,"v2,v1,v3,v4",120,120,1,120,120,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.1480280407704413,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
31,"v4,v1,v3,v2",124,124,1,124,124,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.14354247087612748,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
32,"v3,v4,v2,v1",128,128,1,128,128,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.15040622209198773,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
33,"v2,v4,v3,v1",132,132,1,132,132,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.15459911292418838,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
34,"v2,v1,v3,v4",136,136,1,136,136,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.14404580206610262,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
35,"v4,v1,v2,v3",140,140,1,140,140,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.14980019885115325,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
36,"v3,v2,v4,v1",144,144,1,144,144,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.16079111909493804,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
