candidate_id,query_row,movie_local,director_local,score,label,rank_of_positive
0,0,2852,1159,0.5078777074813843,1,3
1,0,2852,2075,0.4905880391597748,0,3
2,0,2852,1817,0.5013542175292969,0,3
3,0,2852,1652,0.47607526183128357,0,3
4,0,2852,1600,0.4557623267173767,0,3
5,0,2852,726,0.4870244860649109,0,3
6,0,2852,1774,0.4668053090572357,0,3
7,0,2852,1918,0.5461196303367615,0,3
8,0,2852,621,0.4889260530471802,0,3
9,0,2852,124,0.45639467239379883,0,3
10,0,2852,1849,0.48487111926078796,0,3
11,0,2852,356,0.49003860354423523,0,3
12,0,2852,1309,0.47043317556381226,0,3
13,0,2852,1779,0.5273723602294922,0,3
14,0,2852,1804,0.45502036809921265,0,3
15,0,2852,858,0.46973708271980286,0,3
16,0,2852,1488,0.47343119978904724,0,3
17,0,2852,540,0.4387754797935486,0,3
18,0,2852,1516,0.4417804181575775,0,3
19,0,2852,1807,0.476129412651062,0,3
20,1,1674,149,0.5610448718070984,1,1
21,1,1674,1893,0.5379472374916077,0,1
22,1,1674,1080,0.5285555124282837,0,1
23,1,1674,893,0.5227756500244141,0,1
24,1,1674,491,0.5111745595932007,0,1
25,1,1674,373,0.4697014093399048,0,1
26,1,1674,214,0.5318867564201355,0,1
27,1,1674,426,0.45714685320854187,0,1
28,1,1674,945,0.5204728841781616,0,1
29,1,1674,363,0.51615971326828,0,1
30,1,1674,870,0.5258115530014038,0,1
31,1,1674,1296,0.5208808779716492,0,1
32,1,1674,1200,0.5115442276000977,0,1
33,1,1674,743,0.5455955862998962,0,1
34,1,1674,2015,0.5266152024269104,0,1
35,1,1674,1203,0.5135969519615173,0,1
36,1,1674,653,0.5181077122688293,0,1
37,1,1674,1477,0.5283235311508179,0,1
38,1,1674,847,0.5370907783508301,0,1
39,1,1674,256,0.47324657440185547,0,1
40,2,2613,798,0.617151141166687,1,3
41,2,2613,794,0.6072914600372314,0,3
42,2,2613,1462,0.6280889511108398,0,3
43,2,2613,426,0.4311203062534332,0,3
