super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,batches_per_variant,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v2,val_loss_v2,train_loss_v3,val_loss_v3,train_loss_v4,val_loss_v4
1,"v4,v3,v2,v1",4,12,3,12,4,1.578047831853231,0.9413445144891739,0.9413445144891739,0.2946134980302304,1.3766457239786785,0.7240784764289856,1.1355418761571248,0.8211869597434998,1.3935424089431763,1.5197052955627441,2.406461318333944,0.7004073262214661
2,"v1,v3,v2,v4",8,24,3,24,8,3.3683938582738238,0.67171311378479,0.67171311378479,0.2857289919629693,0.9880549907684326,0.4772320091724396,1.4262470404307048,0.9714711904525757,10.12683359781901,0.7675482630729675,0.9324398040771484,0.47060099244117737
3,"v1,v4,v3,v2",12,36,3,36,12,0.3320670599738757,1.4675897881388664,0.67171311378479,0.2469072409439832,0.4234949052333832,1.7051974534988403,0.23574128250281015,0.8330972194671631,0.4482913414637248,0.4961644113063812,0.22074071069558462,2.835900068283081
4,"v4,v3,v2,v1",16,48,3,48,16,0.44398962830503785,0.9493242055177689,0.67171311378479,0.24794371682219207,0.42387330035368603,0.6858532428741455,0.09321850786606471,1.2710561752319336,0.18352621545394263,0.8199823498725891,1.075340489546458,1.0204050540924072
5,"v3,v4,v2,v1",20,60,3,60,20,0.09580357434848945,0.529009111225605,0.529009111225605,0.2840382109861821,0.1113055224219958,0.5420158505439758,0.0706558699409167,0.5168464183807373,0.10919796923796336,0.6583313941955566,0.09205493579308192,0.39884278178215027
6,"v2,v4,v3,v1",24,72,3,72,24,0.036285123166938625,0.4107625037431717,0.4107625037431717,0.28527196194045246,0.030998972555001576,0.463718056678772,0.035506402452786766,0.3534003794193268,0.03368356451392174,0.427116721868515,0.04495155314604441,0.398814857006073
7,"v2,v3,v4,v1",28,84,3,84,28,0.021236562286503613,0.4303402677178383,0.4107625037431717,0.24603754514828324,0.015549852202335993,0.40695011615753174,0.028025743861993153,0.47173863649368286,0.02002749281624953,0.4198110103607178,0.021343160265435774,0.4228613078594208
8,"v1,v2,v3,v4",32,96,3,96,32,0.008658506829912463,0.4506776034832001,0.4107625037431717,0.24608049704693258,0.008247938627998034,0.4794713258743286,0.010835839125017325,0.4452874958515167,0.007487081922590733,0.4307072162628174,0.008063167644043764,0.4472443759441376
9,"v3,v4,v2,v1",36,108,3,108,36,0.005245380763274928,0.504357099533081,0.4107625037431717,0.24531943816691637,0.007470162895818551,0.5001893639564514,0.005999642036234339,0.5335754752159119,0.004740272182971239,0.5531128644943237,0.002771445938075582,0.4305506944656372
10,"v4,v2,v3,v1",40,120,3,120,40,0.003025636135134846,0.5061598569154739,0.4107625037431717,0.24650634406134486,0.004498344923680027,0.48185425996780396,0.0023942459374666214,0.5557695627212524,0.002379879355430603,0.5350539684295654,0.002830074323962132,0.4519616365432739
