candidate_id,query_row,movie_local,link_local,score,label,rank_of_positive
0,0,2852,2852,0.5880630016326904,1,2
1,0,2852,2029,0.4226394295692444,0,2
2,0,2852,1446,0.24866032600402832,0,2
3,0,2852,3210,0.2049255520105362,0,2
4,0,2852,101,0.48536378145217896,0,2
5,0,2852,203,0.255023330450058,0,2
6,0,2852,2819,0.491577684879303,0,2
7,0,2852,3127,0.4676973223686218,0,2
8,0,2852,1279,0.46693289279937744,0,2
9,0,2852,4166,0.19495327770709991,0,2
10,0,2852,3305,0.26155373454093933,0,2
11,0,2852,3765,0.5748165845870972,0,2
12,0,2852,2949,0.6693649291992188,0,2
13,0,2852,2316,0.45223021507263184,0,2
14,0,2852,567,0.4023798108100891,0,2
15,0,2852,771,0.21277274191379547,0,2
16,0,2852,2569,0.11693213135004044,0,2
17,0,2852,749,0.246115043759346,0,2
18,0,2852,2258,0.3510272204875946,0,2
19,0,2852,1090,0.5237175226211548,0,2
20,1,1674,1674,0.9297844171524048,1,1
21,1,1674,2725,0.22718298435211182,0,1
22,1,1674,2403,0.1048058271408081,0,1
23,1,1674,2539,0.04833673685789108,0,1
24,1,1674,1746,0.18229852616786957,0,1
25,1,1674,956,0.17815245687961578,0,1
26,1,1674,3225,0.23569288849830627,0,1
27,1,1674,1256,0.044237785041332245,0,1
28,1,1674,3514,0.0014592896914109588,0,1
29,1,1674,2097,0.27727508544921875,0,1
30,1,1674,823,0.012603076174855232,0,1
31,1,1674,3242,0.1844971626996994,0,1
32,1,1674,2206,0.18023653328418732,0,1
33,1,1674,3931,0.04401068389415741,0,1
34,1,1674,3715,0.004745181649923325,0,1
35,1,1674,2891,0.0019120887154713273,0,1
36,1,1674,2511,0.005722601432353258,0,1
37,1,1674,3605,0.24682089686393738,0,1
38,1,1674,62,0.07165226340293884,0,1
39,1,1674,2581,0.019183766096830368,0,1
40,2,2613,2613,0.5276631712913513,1,2
41,2,2613,2695,0.12712858617305756,0,2
42,2,2613,691,0.14564573764801025,0,2
43,2,2613,3134,0.2640582025051117,0,2
44,2,2613,2679,0.6534357070922852,0,2
45,2,2613,2846,0.18553383648395538,0,2
46,2,2613,960,0.251186341047287,0,2
47,2,2613,3971,0.14084497094154358,0,2
48,2,2613,24,0.1016702651977539,0,2
49,2,2613,2896,0.4315361976623535,0,2
50,2,2613,164,0.13785266876220703,0,2
51,2,2613,1460,0.4602240025997162,0,2
52,2,2613,2567,0.420428991317749,0,2
53,2,2613,2765,0.10403767228126526,0,2
54,2,2613,267,0.1580103486776352,0,2
55,2,2613,806,0.33581385016441345,0,2
56,2,2613,1075,0.2588939368724823,0,2
57,2,2613,3933,0.2578221261501312,0,2
58,2,2613,2509,0.42744508385658264,0,2
59,2,2613,2342,0.37936270236968994,0,2
60,3,2715,2715,0.5155079364776611,1,2
61,3,2715,1759,0.21523170173168182,0,2
62,3,2715,3669,0.5802225470542908,0,2
63,3,2715,1788,0.10786718875169754,0,2
64,3,2715,278,0.330606073141098,0,2
65,3,2715,683,0.23338112235069275,0,2
66,3,2715,1325,0.2680683135986328,0,2
67,3,2715,1870,0.32359325885772705,0,2
68,3,2715,1229,0.3609503209590912,0,2
69,3,2715,2642,0.13240015506744385,0,2
70,3,2715,979,0.25458675622940063,0,2
71,3,2715,3103,0.4165637791156769,0,2
72,3,2715,2665,0.2936756908893585,0,2
73,3,2715,3307,0.1867419332265854,0,2
74,3,2715,864,0.1263052523136139,0,2
75,3,2715,3989,0.3469953238964081,0,2
76,3,2715,1609,0.4705848693847656,0,2
77,3,2715,2564,0.27584895491600037,0,2
78,3,2715,1416,0.3208567500114441,0,2
79,3,2715,1429,0.4472435712814331,0,2
80,4,2019,2019,0.8164929747581482,1,1
81,4,2019,690,0.3016153573989868,0,1
82,4,2019,1170,0.5336992144584656,0,1
83,4,2019,1150,0.2094399482011795,0,1
84,4,2019,63,0.11371903121471405,0,1
85,4,2019,2822,0.08624666929244995,0,1
86,4,2019,3261,0.1762799173593521,0,1
87,4,2019,4126,0.012414521537721157,0,1
88,4,2019,3935,0.05093902349472046,0,1
89,4,2019,3975,0.6442703008651733,0,1
90,4,2019,3375,0.5051373243331909,0,1
91,4,2019,1231,0.35391703248023987,0,1
92,4,2019,158,0.09440366923809052,0,1
93,4,2019,3954,0.6762328147888184,0,1
94,4,2019,3078,0.12113826721906662,0,1
95,4,2019,2585,0.49043142795562744,0,1
96,4,2019,700,0.059506673365831375,0,1
97,4,2019,3186,0.31170183420181274,0,1
98,4,2019,3652,0.6384446024894714,0,1
99,4,2019,3391,0.15966354310512543,0,1
100,5,141,141,0.6247388124465942,1,2
101,5,141,3846,0.030900664627552032,0,2
102,5,141,1072,0.7427058219909668,0,2
103,5,141,2298,0.3364742398262024,0,2
104,5,141,3936,0.1814652979373932,0,2
105,5,141,505,0.598013162612915,0,2
106,5,141,148,0.5039822459220886,0,2
107,5,141,3748,0.16033729910850525,0,2
108,5,141,2820,0.3203520178794861,0,2
109,5,141,3295,0.24853917956352234,0,2
110,5,141,185,0.49860960245132446,0,2
111,5,141,1957,0.06754650920629501,0,2
112,5,141,3351,0.4809897840023041,0,2
113,5,141,2489,0.4694693684577942,0,2
114,5,141,3799,0.5359287261962891,0,2
115,5,141,3823,0.13443811237812042,0,2
116,5,141,3325,0.4844760000705719,0,2
117,5,141,2080,0.16164223849773407,0,2
118,5,141,4123,0.2689368724822998,0,2
119,5,141,13,0.20417813956737518,0,2
120,6,1550,1550,0.5035879611968994,1,1
121,6,1550,1498,0.1787576675415039,0,1
122,6,1550,3665,0.21624863147735596,0,1
123,6,1550,305,0.16251903772354126,0,1
124,6,1550,1748,0.16704900562763214,0,1
125,6,1550,4045,0.11908289790153503,0,1
126,6,1550,3798,0.17849883437156677,0,1
127,6,1550,1816,0.28634825348854065,0,1
128,6,1550,1307,0.21027006208896637,0,1
129,6,1550,3402,0.012683888897299767,0,1
130,6,1550,2745,0.29550665616989136,0,1
