candidate_id,query_row,movie_local,director_local,score,label,rank_of_positive
0,0,2852,1159,0.5038156509399414,1,7
1,0,2852,2075,0.5003631711006165,0,7
2,0,2852,1817,0.49999189376831055,0,7
3,0,2852,1652,0.5028420686721802,0,7
4,0,2852,1600,0.5047430992126465,0,7
5,0,2852,726,0.5033809542655945,0,7
6,0,2852,1774,0.5052216053009033,0,7
7,0,2852,1918,0.5042336583137512,0,7
8,0,2852,621,0.5145981907844543,0,7
9,0,2852,124,0.49987009167671204,0,7
10,0,2852,1849,0.5018173456192017,0,7
11,0,2852,356,0.4998681843280792,0,7
12,0,2852,1309,0.4994218945503235,0,7
13,0,2852,1779,0.5025037527084351,0,7
14,0,2852,1804,0.5010464191436768,0,7
15,0,2852,858,0.5017472505569458,0,7
16,0,2852,1488,0.4995531141757965,0,7
17,0,2852,540,0.5079782605171204,0,7
18,0,2852,1516,0.5397835373878479,0,7
19,0,2852,1807,0.5018523931503296,0,7
20,1,1674,149,0.6121529936790466,1,1
21,1,1674,1893,0.5041682124137878,0,1
22,1,1674,1080,0.502907931804657,0,1
23,1,1674,893,0.4997023940086365,0,1
24,1,1674,491,0.4994834065437317,0,1
25,1,1674,373,0.5041363835334778,0,1
26,1,1674,214,0.4994015693664551,0,1
27,1,1674,426,0.5172645449638367,0,1
28,1,1674,945,0.4995563328266144,0,1
29,1,1674,363,0.4997066855430603,0,1
30,1,1674,870,0.4997612237930298,0,1
31,1,1674,1296,0.49965572357177734,0,1
32,1,1674,1200,0.5086501836776733,0,1
33,1,1674,743,0.5035877823829651,0,1
34,1,1674,2015,0.4998120665550232,0,1
35,1,1674,1203,0.5060131549835205,0,1
36,1,1674,653,0.4997577667236328,0,1
37,1,1674,1477,0.4997745454311371,0,1
38,1,1674,847,0.5039259195327759,0,1
39,1,1674,256,0.5282843112945557,0,1
40,2,2613,798,0.5024849772453308,1,9
41,2,2613,794,0.5026780962944031,0,9
42,2,2613,1462,0.5019072890281677,0,9
43,2,2613,426,0.5100129246711731,0,9
44,2,2613,1088,0.5088391900062561,0,9
45,2,2613,298,0.5019356608390808,0,9
46,2,2613,1423,0.5273998975753784,0,9
47,2,2613,1381,0.5038030743598938,0,9
48,2,2613,930,0.5051582455635071,0,9
49,2,2613,754,0.504410445690155,0,9
50,2,2613,775,0.5001562237739563,0,9
51,2,2613,15,0.5009052753448486,0,9
52,2,2613,202,0.5165709257125854,0,9
53,2,2613,1154,0.5000931024551392,0,9
54,2,2613,420,0.5012333989143372,0,9
55,2,2613,1815,0.5001979470252991,0,9
56,2,2613,1968,0.5021988749504089,0,9
57,2,2613,1148,0.5024391412734985,0,9
58,2,2613,783,0.5011401176452637,0,9
59,2,2613,627,0.5017148852348328,0,9
60,3,2715,655,0.5211607217788696,1,2
61,3,2715,2007,0.5004217028617859,0,2
62,3,2715,1896,0.5029906630516052,0,2
63,3,2715,1610,0.5102294683456421,0,2
64,3,2715,327,0.5002921223640442,0,2
65,3,2715,1959,0.5018821954727173,0,2
66,3,2715,1218,0.5265762805938721,0,2
67,3,2715,1627,0.500992476940155,0,2
68,3,2715,580,0.502632200717926,0,2
69,3,2715,1990,0.5039821863174438,0,2
70,3,2715,524,0.5002720952033997,0,2
71,3,2715,1661,0.5020269155502319,0,2
72,3,2715,123,0.5084459185600281,0,2
73,3,2715,453,0.5024785399436951,0,2
74,3,2715,93,0.5015669465065002,0,2
75,3,2715,1264,0.5013558864593506,0,2
76,3,2715,303,0.504467785358429,0,2
77,3,2715,613,0.5168960690498352,0,2
78,3,2715,677,0.5001655220985413,0,2
79,3,2715,105,0.5070303082466125,0,2
80,4,2019,1356,0.5015376210212708,1,12
81,4,2019,821,0.5004622340202332,0,12
82,4,2019,1678,0.5030838847160339,0,12
83,4,2019,456,0.502424955368042,0,12
84,4,2019,1193,0.5006692409515381,0,12
85,4,2019,407,0.5065701007843018,0,12
86,4,2019,830,0.5013090372085571,0,12
87,4,2019,1168,0.5056056976318359,0,12
88,4,2019,1073,0.5007093548774719,0,12
89,4,2019,1975,0.5035045742988586,0,12
90,4,2019,471,0.5004596710205078,0,12
91,4,2019,791,0.5020293593406677,0,12
92,4,2019,1646,0.5019611716270447,0,12
93,4,2019,1911,0.5033608675003052,0,12
94,4,2019,1047,0.5008230209350586,0,12
95,4,2019,1051,0.5028881430625916,0,12
96,4,2019,927,0.5024131536483765,0,12
97,4,2019,1131,0.5012948513031006,0,12
98,4,2019,2049,0.5022753477096558,0,12
